sheet,min_x,min_y,max_x,max_y
1,-2000,2600,-1600,3000
2,-1600,2600,-1000,3000
3,-1000,2600,-400,3000
4,-400,2600,200,3000
5,200,2600,800,3000
6,800,2600,1400,3000
7,1400,2600,2000,3000
8,2000,2600,2600,3000
9,-2000,2200,-1600,2600
10,-1600,2200,-1000,2600
11,-1000,2200,-400,2600
12,-400,2200,200,2600
13,200,2200,800,2600
14,800,2200,1400,2600
15,1400,2200,2000,2600
16,2000,2200,2600,2600
17,-2000,1800,-1600,2200
18,-1600,1800,-1000,2200
19,-1000,1800,-400,2200
20,-400,1800,200,2200
21,200,1800,800,2200
22,800,1800,1400,2200
23,1400,1800,2000,2200
24,2000,1800,2600,2200
25,-2000,1400,-1600,1800
26,-1600,1400,-1000,1800
27,-1000,1400,-400,1800
28,-400,1400,200,1800
29,200,1400,800,1800
30,800,1400,1400,1800
31,1400,1400,2000,1800
32,2000,1400,2600,1800
33,-2000,1000,-1600,1400
34,-1600,1000,-1000,1400
35,-1000,1000,-400,1400
36,-400,1000,200,1400
37,200,1000,800,1400
38,800,1000,1400,1400
39,1400,1000,2000,1400
40,2000,1000,2600,1400
41,-2000,600,-1600,1000
42,-1600,600,-1000,1000
43,-1000,600,-400,1000
44,-400,600,200,1000
45,200,600,800,1000
46,800,600,1400,1000
47,1400,600,2000,1000
48,2000,600,2600,1000
49,-2000,200,-1600,600
50,-1600,200,-1000,600
51,-1000,200,-400,600
52,-400,200,200,600
53,200,200,800,600
54,800,200,1400,600
55,1400,200,2000,600
56,2000,200,2600,600
57,-2000,-200,-1600,200
58,-1600,-200,-1000,200
59,-1000,-200,-400,200
60,-400,-200,200,200
61,200,-200,800,200
62,800,-200,1400,200
63,1400,-200,2000,200
64,2000,-200,2600,200
65,-2000,-600,-1600,-200
66,-1600,-600,-1000,-200
67,-1000,-600,-400,-200
68,-400,-600,200,-200
69,200,-600,800,-200
70,800,-600,1400,-200
71,1400,-600,2000,-200
72,2000,-600,2600,-200
